tid,f_measure,gt_tempo_bpm,pred_tempo_bpm,tempo_ratio,n_gt_beats,n_pred_beats
smc_001,0.7097,48.15,48.30,1.0030,32,30
smc_002,0.5271,65.36,184.57,2.8239,44,85
smc_003,0.6435,68.00,139.67,2.0542,44,71
smc_004,0.8986,56.99,58.73,1.0304,37,32
smc_005,0.3673,39.71,38.86,0.9785,27,22
smc_006,0.8571,52.13,48.30,0.9265,40,30
smc_007,0.5634,52.77,54.11,1.0255,34,37
smc_008,0.8840,134.53,136.00,1.0109,90,91
smc_009,0.6506,55.63,57.42,1.0323,37,46
smc_010,0.9697,76.63,77.13,1.0066,50,49
smc_011,0.7521,92.74,95.70,1.0320,56,61
smc_012,0.5517,86.96,86.13,0.9905,58,29
smc_013,0.9062,95.71,95.70,0.9999,64,64
smc_014,0.8511,78.31,78.30,0.9999,50,44
smc_015,0.4643,35.34,77.13,2.1829,24,32
smc_016,0.8602,70.01,69.84,0.9976,47,46
smc_017,0.7556,72.29,72.79,1.0069,48,42
smc_018,0.1972,84.03,64.60,0.7687,56,15
smc_019,0.8364,41.99,42.71,1.0172,27,28
smc_021,0.5745,90.23,95.70,1.0607,59,35
smc_022,0.9762,69.36,68.91,0.9934,42,42
smc_023,0.8462,35.09,37.18,1.0596,23,29
smc_024,0.9512,164.84,166.71,1.0114,83,81
smc_026,0.7164,51.81,52.20,1.0075,34,33
smc_027,0.7073,63.80,63.41,0.9940,41,41
smc_028,0.7206,117.19,114.84,0.9800,70,66
smc_030,0.9283,200.00,198.77,0.9938,132,133
smc_032,0.5581,89.15,123.05,1.3802,58,28
smc_033,0.5950,92.92,97.51,1.0494,62,59
smc_034,0.9268,63.39,63.02,0.9942,41,41
smc_035,0.8947,58.25,58.73,1.0081,38,38
smc_036,0.8800,61.54,63.80,1.0368,40,35
smc_037,0.7887,58.77,56.17,0.9559,39,32
smc_038,0.8608,61.86,63.02,1.0189,40,39
smc_041,0.8913,70.74,70.79,1.0008,45,47
smc_042,0.9032,46.15,46.56,1.0088,31,31
smc_043,0.8393,92.31,97.51,1.0563,56,56
smc_044,0.7789,76.46,78.30,1.0241,49,46
smc_046,0.6744,65.22,65.42,1.0031,43,43
smc_047,0.6105,87.53,90.67,1.0359,57,38
smc_048,0.0769,33.56,16.05,0.4783,22,4
smc_051,0.6591,63.03,63.80,1.0123,42,46
smc_052,0.7317,90.84,92.29,1.0159,61,62
smc_054,0.9565,63.39,63.02,0.9942,35,34
smc_055,0.3103,67.64,34.45,0.5094,45,13
smc_056,0.2025,104.17,93.12,0.8939,68,11
smc_057,0.5079,61.61,61.52,0.9986,39,24
smc_058,0.4348,62.89,62.26,0.9900,40,29
smc_059,0.8041,71.43,72.79,1.0190,47,50
smc_060,0.6829,70.59,68.91,0.9762,46,36
smc_061,0.7273,40.00,39.15,0.9788,26,18
smc_063,0.7748,88.24,87.59,0.9927,56,55
smc_064,0.0000,44.18,nan,nan,28,0
smc_065,0.9592,73.17,72.79,0.9948,49,49
smc_066,0.5957,47.10,46.98,0.9976,31,16
smc_067,0.9391,86.96,86.13,0.9905,57,58
smc_068,0.9180,92.31,92.29,0.9998,61,61
smc_069,0.8288,86.71,89.10,1.0277,55,56
smc_071,0.9524,79.68,80.75,1.0134,52,53
smc_072,0.9647,67.87,68.00,1.0019,43,42
smc_073,0.8043,70.46,69.84,0.9912,47,45
smc_074,0.8525,94.64,97.51,1.0303,60,62
smc_075,0.4865,81.97,77.13,0.9410,53,21
smc_076,0.4444,86.89,37.31,0.4294,55,17
