crops loaded from /disk4/jaehoon/phasevae_dedup.pkl
train 4947 / val 717
cold start                   F 0.375  CMLt 0.156  AMLt 0.249  est/ref 0.57
after supervision            F 0.786  CMLt 0.774  AMLt 0.820  est/ref 1.09
after fitting the emission   F 0.786  CMLt 0.774  AMLt 0.820  est/ref 1.09
   emission a -5.887  b 4.181

 epoch   elbo/fr    kl/fr  emis b       F    CMLt    AMLt  est/ref
     0   -1.9990   1.8755   4.200   0.751   0.752   0.813     1.17
     1   -1.7374   1.6132   4.215   0.756   0.738   0.783     0.99
     2   -1.6368   1.5106   4.226   0.771   0.737   0.798     1.23
     3   -1.6068   1.4869   4.240   0.778   0.736   0.797     1.21
     4   -1.6810   1.5632   4.248   0.791   0.742   0.799     1.24
     5   -6.4238   6.2711   4.205   0.414   0.121   0.157     3.62
     6  -18.7196  18.5662   4.169   0.180   0.340   0.443     1.57
     7   -3.5555   3.3792   4.107   0.177   0.260   0.331     1.51
     8   -1.3835   1.2165   4.067   0.155   0.205   0.273     1.36
     9   -1.3048   1.1309   4.018   0.401   0.522   0.556     1.19
    10   -1.2633   1.1008   3.982   0.117   0.501   0.534     0.97
    11   -1.2388   1.0928   3.963   0.541   0.647   0.683     1.19
    12   -1.2014   1.0532   3.940   0.532   0.649   0.682     1.15
    13   -1.1610   1.0159   3.921   0.548   0.634   0.673     1.18
    14   -1.1501   1.0013   3.895   0.535   0.644   0.679     1.09
    15   -1.1405   0.9974   3.876   0.563   0.664   0.695     1.10
    16   -1.1787   1.0327   3.856   0.524   0.640   0.671     1.05
    17   -1.1376   0.9881   3.829   0.454   0.681   0.718     1.13
    18   -1.3186   1.1802   3.820   0.148   0.168   0.252     1.62
    19   -1.2263   1.0691   3.789   0.640   0.705   0.737     1.07
