crops loaded from /disk4/jaehoon/phasevae_dedup.pkl
train 4947 / val 717
cold start                       val F 0.383
after supervision                val F 0.786
after fitting the emission       val F 0.786   a -5.887  b 4.181

 epoch   elbo/fr  recon/fr    kl/fr  emis b   val F
     0   -1.9990   -0.1234   1.8755   4.200   0.751
     1   -1.7374   -0.1242   1.6132   4.215   0.756
     2   -1.6368   -0.1263   1.5106   4.226   0.771
     3   -1.6068   -0.1198   1.4869   4.240   0.778
     4   -1.6810   -0.1178   1.5632   4.248   0.791
     5   -6.4238   -0.1528   6.2711   4.205   0.414
     6  -18.7196   -0.1534  18.5662   4.169   0.180
     7   -3.5555   -0.1763   3.3792   4.107   0.177
     8   -1.3835   -0.1670   1.2165   4.067   0.155
     9   -1.3048   -0.1738   1.1309   4.018   0.401
    10   -1.2633   -0.1625   1.1008   3.982   0.117
    11   -1.2388   -0.1460   1.0928   3.963   0.541
    12   -1.2014   -0.1482   1.0532   3.940   0.532
    13   -1.1610   -0.1450   1.0159   3.921   0.548
    14   -1.1501   -0.1488   1.0013   3.895   0.535
    15   -1.1405   -0.1431   0.9974   3.876   0.563
    16   -1.1787   -0.1460   1.0327   3.856   0.524
    17   -1.1376   -0.1495   0.9881   3.829   0.454
    18   -1.3186   -0.1384   1.1802   3.820   0.148
    19   -1.2263   -0.1571   1.0691   3.789   0.640
    20   -1.1405   -0.1424   0.9981   3.772   0.563
    21   -1.1367   -0.1420   0.9947   3.754   0.641
    22   -1.1389   -0.1395   0.9994   3.739   0.571
    23   -1.1096   -0.1414   0.9682   3.722   0.505
    24   -1.0861   -0.1499   0.9361   3.694   0.463
