dataset          n rung      beatF       CMLt       AMLt  downbeatF     dbCMLt     dbAMLt
ALL(pooled)   2304 R0       0.9225     0.8736     0.9367     0.8558     0.8261     0.9120
ALL(pooled)   2304 R1       0.9225     0.8736     0.9367     0.8558     0.8261     0.9120
ballroom       672 R0       0.9684     0.9548     0.9707     0.9551     0.9523     0.9685
ballroom       672 R1       0.9684     0.9548     0.9707     0.9551     0.9523     0.9685
beatles        179 R0       0.9380     0.8721     0.9311     0.8780     0.7899     0.8785
beatles        179 R1       0.9380     0.8721     0.9311     0.8780     0.7899     0.8785
gtzan          999 R0       0.8786     0.8023     0.9103     0.7707     0.7297     0.8791
gtzan          999 R1       0.8786     0.8023     0.9103     0.7707     0.7297     0.8791
hainsworth     222 R0       0.9058     0.8409     0.9070     0.8044     0.7597     0.8478
hainsworth     222 R1       0.9058     0.8409     0.9070     0.8044     0.7597     0.8478
hjdb           232 R0       0.9828     0.9771     0.9846     0.9665     0.9669     0.9770
hjdb           232 R1       0.9828     0.9771     0.9846     0.9665     0.9669     0.9770
